"customer_id","age","gender","city","category","item_purchased","color","size","quantity","unit_price_vnd","discount_applied","total_purchase_vnd","payment_method","purchase_channel","shipping_type","season","purchase_frequency","subscription_member","promo_code_used","review_rating","age_group","purchase_frequency_days"
19,21,"Male","Ho Chi Minh","Accessories","Running Socks (3-pack)","Green",NULL,1,150000,"No",150000,"ZaloPay","Online - Website","Same-day","Autumn","Weekly","No","No",3.0,"Teen",7
20,18,"Female","Ha Noi","Lifestyle Sneakers","1906R","Navy",NULL,1,2750000,"Yes",2612000,"Debit Card","Lazada","Standard","Winter","Bi-Weekly","No","No",4.0,"Teen",14
21,38,"Female","Da Nang","Running Shoes","Fuelcell Rebel v4","Blue","42",1,4100000,"No",4100000,"Bank Transfer","In-Store","In-Store Pickup","Winter","Every 3 Months","No","No",4.0,"Adult",90
22,26,"Male","Ho Chi Minh","Lifestyle Sneakers","574","Blue",NULL,1,3100000,"Yes",3100000,"Credit Card","Lazada","Same-day","Summer","Quarterly","No","Yes",5.0,"Young Adult",90
23,28,"Female","Ho Chi Minh","Lifestyle Sneakers","1906R","Black",NULL,1,3050000,"Yes",2745000,"MoMo","Shopee","Express","Summer","Annually","No","No",4.0,"Young Adult",365
24,18,"Female","Ha Noi","Running Shoes","FuelCell SuperComp Elite","Navy","40",1,3650000,"Yes",3468000,"Bank Transfer","Online - App","Standard","Autumn","Weekly","No","No",4.0,"Teen",7
25,24,"Male","Ho Chi Minh","Apparel - Top","Essentials Hoodie","Pink","S",1,950000,"Yes",760000,"MoMo","Shopee","Standard","Autumn","Weekly","No","No",5.0,"Teen",7
26,28,"Male","Da Nang","Apparel - Top","Athletics Fleece Crew","Red","L",2,700000,"Yes",1190000,"MoMo","In-Store","In-Store Pickup","Summer","Annually","No","Yes",4.0,"Young Adult",365
27,19,"Male","Ha Noi","Apparel - Top","NB Athletics T-Shirt","Green","L",1,800000,"No",800000,"Credit Card","Online - Website","Same-day","Winter","Annually","No","No",5.0,"Teen",365
28,30,"Female","Ha Noi","Lifestyle Sneakers","9060","Pink",NULL,1,2750000,"No",2750000,"Credit Card","Online - App","Express","Summer","Every 3 Months","No","No",5.0,"Young Adult",90
29,23,"Male","Da Nang","Running Shoes","880v13","Beige","38",1,3550000,"Yes",3195000,"Credit Card","Online - Website","Express","Autumn","Every 3 Months","Yes","Yes",5.0,"Teen",90
30,25,"Male","Ha Noi","Training Shoes","Freeze LX v3","Black","36",1,2700000,"Yes",2565000,"Credit Card","In-Store","In-Store Pickup","Autumn","Weekly","No","Yes",5.0,"Teen",7
31,23,"Male","Da Nang","Accessories","Sport Cap","Yellow",NULL,3,150000,"No",450000,"VNPay","Online - Website","Same-day","Winter","Monthly","Yes","No",5.0,"Teen",30
32,40,"Male","Ho Chi Minh","Lifestyle Sneakers","550","Blue",NULL,1,2100000,"No",2100000,"Debit Card","Lazada","Standard","Winter","Monthly","No","No",4.0,"Adult",30
33,27,"Female","Ho Chi Minh","Training Shoes","Freeze LX v3","Beige","43",1,3100000,"No",3100000,"MoMo","Online - Website","Standard","Summer","Annually","No","No",4.0,"Young Adult",365
34,20,"Female","Ha Noi","Running Shoes","FuelCell SuperComp Elite","Red","41",1,4250000,"Yes",3612000,"VNPay","Online - App","Express","Summer","Quarterly","No","Yes",4.0,"Teen",90
35,33,"Male","Ho Chi Minh","Running Shoes","FuelCell SuperComp Elite","Navy","42",1,4100000,"No",4100000,"Debit Card","Online - App","Standard","Summer","Quarterly","No","No",4.0,"Adult",90
36,19,"Male","Ha Noi","Running Shoes","1080v13","Red","43",1,5250000,"No",5250000,"MoMo","In-Store","In-Store Pickup","Spring","Bi-Weekly","Yes","No",3.0,"Teen",14
37,29,"Female","Ha Noi","Training Shoes","Minimus TR","White","43",1,2250000,"No",2250000,"MoMo","Online - Website","Express","Spring","Fortnightly","No","No",4.0,"Young Adult",14
38,16,"Male","Ho Chi Minh","Apparel - Top","Impact Run Jacket","Navy","XS",1,550000,"No",550000,"MoMo","Online - App","Express","Autumn","Weekly","No","No",4.0,"Teen",7
39,18,"Male","Ho Chi Minh","Accessories","Running Socks (3-pack)","Navy",NULL,2,400000,"Yes",760000,"Cash","In-Store","In-Store Pickup","Summer","Every 3 Months","No","No",3.0,"Teen",90
40,29,"Female","Ha Noi","Apparel - Top","Essentials Hoodie","White","L",1,1000000,"Yes",900000,"Credit Card","In-Store","In-Store Pickup","Autumn","Monthly","No","No",5.0,"Young Adult",30
41,33,"Female","Ho Chi Minh","Lifestyle Sneakers","2002R","Black",NULL,1,3600000,"No",3600000,"MoMo","In-Store","In-Store Pickup","Summer","Quarterly","Yes","No",4.0,"Adult",90
42,29,"Male","Ho Chi Minh","Lifestyle Sneakers","9060","Beige",NULL,1,2950000,"Yes",2508000,"MoMo","Online - App","Standard","Spring","Annually","No","No",5.0,"Young Adult",365
43,27,"Male","Ho Chi Minh","Lifestyle Sneakers","327","Red",NULL,1,3150000,"Yes",2678000,"VNPay","Shopee","Express","Spring","Annually","No","No",2.0,"Young Adult",365
44,25,"Female","Ho Chi Minh","Lifestyle Sneakers","327","Beige",NULL,1,3850000,"Yes",2695000,"MoMo","In-Store","In-Store Pickup","Spring","Fortnightly","No","No",2.0,"Teen",14
45,17,"Female","Da Nang","Accessories","Gym Bag","Pink",NULL,1,400000,"Yes",400000,"MoMo","Online - App","Standard","Spring","Weekly","Yes","Yes",5.0,"Teen",7
46,22,"Male","Ho Chi Minh","Lifestyle Sneakers","327","Yellow",NULL,1,3850000,"No",3850000,"Debit Card","Online - App","Express","Summer","Annually","No","No",5.0,"Teen",365
47,24,"Female","Ha Noi","Running Shoes","1080v13","Green","43",1,4400000,"Yes",4400000,"ZaloPay","Shopee","Standard","Spring","Quarterly","No","Yes",5.0,"Teen",90
48,35,"Male","Da Nang","Lifestyle Sneakers","9060","Grey",NULL,1,2100000,"No",2100000,"Bank Transfer","Online - Website","Express","Autumn","Weekly","No","No",5.0,"Adult",7
49,30,"Male","Da Nang","Training Shoes","Minimus TR","Navy","40",1,3750000,"Yes",2625000,"ZaloPay","Shopee","Standard","Spring","Monthly","No","Yes",1.0,"Young Adult",30
50,16,"Female","Ha Noi","Lifestyle Sneakers","1906R","Grey",NULL,1,2500000,"Yes",2125000,"Debit Card","Shopee","Same-day","Summer","Bi-Weekly","No","No",4.0,"Teen",14
51,30,"Male","Ho Chi Minh","Lifestyle Sneakers","327","Yellow",NULL,1,3050000,"No",3050000,"Debit Card","In-Store","In-Store Pickup","Winter","Bi-Weekly","Yes","No",4.0,"Young Adult",14
52,25,"Female","Ha Noi","Running Shoes","1080v13","Red","42",1,2850000,"No",2850000,"ZaloPay","Shopee","Express","Spring","Quarterly","Yes","No",5.0,"Teen",90
53,23,"Female","Ha Noi","Training Shoes","Freeze LX v3","White","38",1,3500000,"Yes",3500000,"Debit Card","Online - Website","Express","Autumn","Weekly","No","Yes",4.0,"Teen",7
54,32,"Female","Da Nang","Apparel - Bottom","Impact Run Tight","Red","L",2,750000,"No",1500000,"Cash","Shopee","Express","Summer","Weekly","No","No",4.0,"Adult",7
55,35,"Male","Ha Noi","Lifestyle Sneakers","9060","Red",NULL,1,3400000,"Yes",3400000,"Bank Transfer","In-Store","In-Store Pickup","Summer","Bi-Weekly","No","Yes",4.0,"Adult",14
56,34,"Female","Ho Chi Minh","Training Shoes","Minimus TR","Black","38",1,2300000,"Yes",2070000,"Cash","Lazada","Same-day","Spring","Annually","No","No",5.0,"Adult",365
57,22,"Female","Ho Chi Minh","Training Shoes","FuelCell Training","Blue","36",1,2650000,"No",2650000,"Bank Transfer","Lazada","Same-day","Spring","Weekly","No","No",5.0,"Teen",7
58,25,"Male","Da Nang","Training Shoes","Freeze LX v3","Black","45",1,2300000,"No",2300000,"Credit Card","In-Store","In-Store Pickup","Autumn","Fortnightly","Yes","No",3.0,"Teen",14
59,30,"Male","Ho Chi Minh","Running Shoes","FuelCell SuperComp Elite","Pink","38",1,3850000,"No",3850000,"Cash","Lazada","Express","Spring","Monthly","Yes","No",4.0,"Young Adult",30
60,34,"Male","Ho Chi Minh","Lifestyle Sneakers","1906R","Blue",NULL,1,3950000,"No",3950000,"MoMo","In-Store","In-Store Pickup","Autumn","Weekly","No","No",4.0,"Adult",7
61,24,"Female","Ha Noi","Lifestyle Sneakers","574","Beige",NULL,1,3650000,"Yes",3468000,"MoMo","In-Store","In-Store Pickup","Summer","Weekly","No","No",4.0,"Teen",7
62,26,"Male","Ho Chi Minh","Apparel - Top","NB Athletics T-Shirt","Pink","XXL",1,700000,"No",700000,"Debit Card","Shopee","Same-day","Summer","Every 3 Months","Yes","No",4.0,"Young Adult",90
63,20,"Male","Ha Noi","Running Shoes","Fresh Foam X 1080","Grey","41",1,5150000,"Yes",3605000,"MoMo","Shopee","Express","Summer","Fortnightly","No","Yes",4.0,"Teen",14
64,19,"Male","Ha Noi","Running Shoes","880v13","White","39",1,4250000,"No",4250000,"Debit Card","Shopee","Express","Autumn","Weekly","No","No",5.0,"Teen",7
65,33,"Female","Ho Chi Minh","Running Shoes","Fresh Foam 860","Blue","40",1,4250000,"Yes",3400000,"MoMo","Online - Website","Standard","Spring","Fortnightly","Yes","No",5.0,"Adult",14
66,37,"Male","Ha Noi","Apparel - Bottom","Athletics Jogger","Yellow","S",1,450000,"Yes",382000,"MoMo","Online - Website","Express","Summer","Every 3 Months","Yes","No",4.0,"Adult",90
67,27,"Female","Ha Noi","Accessories","Sport Cap","Black",NULL,1,350000,"Yes",332000,"Credit Card","Online - Website","Express","Spring","Every 3 Months","No","No",4.0,"Young Adult",90
68,35,"Male","Ha Noi","Lifestyle Sneakers","550","White",NULL,1,3100000,"No",3100000,"MoMo","Shopee","Same-day","Summer","Monthly","No","No",4.0,"Adult",30
69,30,"Male","Ha Noi","Running Shoes","Fuelcell Rebel v4","Pink","42",1,3150000,"No",3150000,"Debit Card","Online - Website","Standard","Summer","Every 3 Months","No","No",4.0,"Young Adult",90
70,23,"Male","Da Nang","Running Shoes","Fresh Foam 860","Grey","39",1,5350000,"Yes",4548000,"Cash","TikTok Shop","Express","Autumn","Weekly","No","No",4.0,"Teen",7
71,30,"Female","Ho Chi Minh","Running Shoes","Fresh Foam X 1080","Beige","43",1,5450000,"Yes",4905000,"Cash","Online - App","Express","Summer","Every 3 Months","Yes","No",5.0,"Young Adult",90
72,38,"Male","Ho Chi Minh","Lifestyle Sneakers","1906R","Yellow",NULL,1,2600000,"Yes",2340000,"Credit Card","In-Store","In-Store Pickup","Spring","Annually","No","Yes",5.0,"Adult",365
73,27,"Male","Ho Chi Minh","Lifestyle Sneakers","327","Green",NULL,1,3500000,"No",3500000,"ZaloPay","In-Store","In-Store Pickup","Autumn","Every 3 Months","No","No",4.0,"Young Adult",90
74,38,"Male","Da Nang","Lifestyle Sneakers","2002R","Grey",NULL,1,3250000,"Yes",2762000,"MoMo","In-Store","In-Store Pickup","Autumn","Bi-Weekly","No","Yes",4.0,"Adult",14
75,16,"Male","Ho Chi Minh","Training Shoes","FuelCell Training","Blue","44",1,2250000,"Yes",2138000,"Credit Card","TikTok Shop","Express","Summer","Monthly","No","Yes",2.0,"Teen",30
76,33,"Female","Da Nang","Apparel - Bottom","Athletics Jogger","Green","XL",1,550000,"No",550000,"ZaloPay","Shopee","Express","Spring","Annually","Yes","No",5.0,"Adult",365
77,28,"Male","Ho Chi Minh","Lifestyle Sneakers","1906R","Beige",NULL,1,2600000,"Yes",2080000,"Bank Transfer","Online - App","Same-day","Summer","Monthly","No","No",5.0,"Young Adult",30
78,25,"Female","Ha Noi","Lifestyle Sneakers","574","Pink",NULL,1,2300000,"Yes",1955000,"Credit Card","Lazada","Standard","Spring","Fortnightly","No","No",3.0,"Teen",14
79,28,"Male","Ha Noi","Lifestyle Sneakers","574","Blue",NULL,1,2750000,"Yes",2200000,"VNPay","Shopee","Standard","Autumn","Fortnightly","No","Yes",5.0,"Young Adult",14
80,16,"Male","Ho Chi Minh","Running Shoes","FuelCell SuperComp Elite","Yellow","44",1,5000000,"No",5000000,"ZaloPay","In-Store","In-Store Pickup","Spring","Every 3 Months","Yes","No",4.0,"Teen",90
81,26,"Male","Ho Chi Minh","Apparel - Top","Impact Run Jacket","Black","L",1,1100000,"No",1100000,"Credit Card","Shopee","Standard","Summer","Every 3 Months","No","No",4.0,"Young Adult",90
82,30,"Female","Ho Chi Minh","Accessories","Gym Bag","Black",NULL,2,500000,"Yes",850000,"MoMo","Shopee","Standard","Autumn","Every 3 Months","No","Yes",4.0,"Young Adult",90
83,38,"Male","Ho Chi Minh","Apparel - Top","NB Athletics T-Shirt","Beige","XXL",1,500000,"Yes",475000,"Cash","TikTok Shop","Same-day","Summer","Every 3 Months","No","Yes",4.0,"Adult",90
84,24,"Female","Ha Noi","Running Shoes","Fresh Foam 860","Green","42",1,4650000,"No",4650000,"Debit Card","TikTok Shop","Standard","Summer","Weekly","No","No",4.0,"Teen",7
85,22,"Female","Da Nang","Lifestyle Sneakers","574","Blue",NULL,1,3050000,"Yes",2592000,"Debit Card","Shopee","Standard","Summer","Every 3 Months","No","No",4.0,"Teen",90
86,24,"Male","Ho Chi Minh","Accessories","Running Socks (3-pack)","Yellow",NULL,1,600000,"Yes",510000,"Debit Card","Online - Website","Standard","Autumn","Bi-Weekly","No","No",5.0,"Teen",14
87,34,"Female","Ha Noi","Running Shoes","Fresh Foam X 1080","Grey","36",1,4900000,"No",4900000,"VNPay","In-Store","In-Store Pickup","Autumn","Bi-Weekly","No","No",4.0,"Adult",14
88,30,"Male","Ha Noi","Lifestyle Sneakers","9060","Beige",NULL,1,2150000,"Yes",2150000,"Bank Transfer","TikTok Shop","Same-day","Autumn","Fortnightly","Yes","Yes",4.0,"Young Adult",14
89,24,"Female","Ho Chi Minh","Lifestyle Sneakers","574","Navy",NULL,1,2400000,"Yes",2160000,"Debit Card","Online - App","Express","Summer","Monthly","Yes","No",5.0,"Teen",30
90,31,"Male","Ho Chi Minh","Running Shoes","Fresh Foam 860","Beige","37",1,4750000,"No",4750000,"Debit Card","Lazada","Express","Autumn","Quarterly","No","No",5.0,"Young Adult",90
91,28,"Male","Ho Chi Minh","Running Shoes","1080v13","Blue","39",1,5000000,"No",5000000,"VNPay","In-Store","In-Store Pickup","Autumn","Monthly","No","No",4.0,"Young Adult",30
92,34,"Male","Ho Chi Minh","Running Shoes","Fuelcell Rebel v4","Blue","45",1,5150000,"Yes",4120000,"Cash","TikTok Shop","Express","Autumn","Every 3 Months","No","Yes",4.0,"Adult",90
93,23,"Female","Ho Chi Minh","Running Shoes","1080v13","Red","42",1,4700000,"Yes",4465000,"Debit Card","Online - App","Standard","Summer","Every 3 Months","No","No",5.0,"Teen",90
94,25,"Male","Ha Noi","Lifestyle Sneakers","550","White",NULL,1,2900000,"No",2900000,"Credit Card","In-Store","In-Store Pickup","Winter","Weekly","No","No",5.0,"Teen",7
95,25,"Male","Ho Chi Minh","Lifestyle Sneakers","2002R","Beige",NULL,1,3900000,"No",3900000,"MoMo","In-Store","In-Store Pickup","Summer","Weekly","Yes","No",4.0,"Teen",7
96,17,"Female","Da Nang","Lifestyle Sneakers","1906R","White",NULL,1,3600000,"Yes",3240000,"Debit Card","Online - Website","Express","Spring","Monthly","Yes","No",4.0,"Teen",30
97,30,"Male","Ha Noi","Running Shoes","Fresh Foam X 1080","Blue","42",1,4200000,"No",4200000,"Debit Card","In-Store","In-Store Pickup","Autumn","Every 3 Months","No","No",2.0,"Young Adult",90
98,29,"Male","Ho Chi Minh","Lifestyle Sneakers","2002R","Blue",NULL,1,2500000,"No",2500000,"MoMo","Lazada","Standard","Autumn","Annually","No","No",4.0,"Young Adult",365
99,28,"Female","Ho Chi Minh","Apparel - Top","NB Athletics T-Shirt","Beige","XL",3,750000,"No",2250000,"ZaloPay","Online - App","Express","Autumn","Annually","No","No",4.0,"Young Adult",365
100,26,"Male","Ha Noi","Running Shoes","880v13","Green","41",1,3450000,"No",3450000,"Credit Card","Online - App","Standard","Autumn","Quarterly","No","No",5.0,"Young Adult",90
101,18,"Female","Ho Chi Minh","Lifestyle Sneakers","530","Beige",NULL,1,4050000,"Yes",3645000,"ZaloPay","Shopee","Same-day","Autumn","Fortnightly","Yes","No",3.0,"Teen",14
102,25,"Male","Da Nang","Training Shoes","FuelCell Training","Beige","41",1,2950000,"No",2950000,"VNPay","Shopee","Standard","Summer","Bi-Weekly","No","No",5.0,"Teen",14
103,25,"Male","Ha Noi","Lifestyle Sneakers","550","Red",NULL,1,3800000,"Yes",3040000,"Credit Card","Online - App","Express","Summer","Quarterly","Yes","No",3.0,"Teen",90
104,22,"Female","Ha Noi","Apparel - Top","NB Athletics T-Shirt","Grey","XXL",3,450000,"No",1350000,"Credit Card","Shopee","Same-day","Winter","Bi-Weekly","Yes","No",5.0,"Teen",14
105,26,"Male","Ha Noi","Lifestyle Sneakers","9060","Black",NULL,1,2550000,"No",2550000,"VNPay","TikTok Shop","Same-day","Spring","Monthly","No","No",3.0,"Young Adult",30
106,30,"Male","Ha Noi","Accessories","Gym Bag","Red",NULL,3,600000,"No",1800000,"MoMo","TikTok Shop","Express","Winter","Annually","Yes","No",3.0,"Young Adult",365
107,41,"Female","Ha Noi","Lifestyle Sneakers","1906R","Navy",NULL,1,2550000,"No",2550000,"MoMo","Online - Website","Standard","Summer","Monthly","No","No",2.0,"Adult",30
108,29,"Female","Ha Noi","Accessories","Gym Bag","Yellow",NULL,1,150000,"Yes",135000,"MoMo","Online - App","Same-day","Spring","Fortnightly","No","No",5.0,"Young Adult",14
109,29,"Male","Ha Noi","Running Shoes","FuelCell SuperComp Elite","Grey","43",1,4700000,"Yes",4700000,"MoMo","Online - Website","Same-day","Summer","Bi-Weekly","Yes","Yes",4.0,"Young Adult",14
110,27,"Female","Ha Noi","Running Shoes","Fuelcell Rebel v4","Black","37",1,5100000,"No",5100000,"Credit Card","Online - App","Standard","Spring","Fortnightly","No","No",5.0,"Young Adult",14
111,16,"Female","Ha Noi","Lifestyle Sneakers","574","Pink",NULL,1,3750000,"No",3750000,"Debit Card","In-Store","In-Store Pickup","Summer","Fortnightly","No","No",2.0,"Teen",14
112,27,"Female","Da Nang","Running Shoes","880v13","Grey","38",1,5500000,"No",5500000,"MoMo","Online - Website","Same-day","Winter","Annually","No","No",5.0,"Young Adult",365
113,28,"Female","Ha Noi","Running Shoes","Fuelcell Rebel v4","Pink","42",1,3350000,"No",3350000,"Credit Card","In-Store","In-Store Pickup","Spring","Bi-Weekly","No","No",4.0,"Young Adult",14
114,45,"Female","Ho Chi Minh","Running Shoes","1080v13","Black","37",1,4550000,"No",4550000,"VNPay","Lazada","Express","Summer","Quarterly","No","No",4.0,"Adult",90
115,26,"Male","Ho Chi Minh","Apparel - Top","NB Athletics T-Shirt","Pink","S",1,750000,"No",750000,"MoMo","Online - App","Standard","Autumn","Weekly","No","No",5.0,"Young Adult",7
116,30,"Male","Ha Noi","Training Shoes","FuelCell Training","Beige","44",1,2300000,"No",2300000,"Bank Transfer","Shopee","Standard","Autumn","Every 3 Months","No","No",4.0,"Young Adult",90
117,27,"Male","Ha Noi","Apparel - Top","NB Athletics T-Shirt","Green","XL",1,900000,"Yes",810000,"Credit Card","Shopee","Express","Winter","Annually","Yes","No",5.0,"Young Adult",365
118,19,"Male","Ha Noi","Apparel - Top","Essentials Hoodie","Navy","L",1,800000,"No",800000,"Credit Card","In-Store","In-Store Pickup","Autumn","Fortnightly","No","No",5.0,"Teen",14
119,35,"Female","Da Nang","Apparel - Top","Athletics Fleece Crew","Pink","L",1,1150000,"Yes",1035000,"MoMo","In-Store","In-Store Pickup","Winter","Bi-Weekly","No","No",5.0,"Adult",14
120,33,"Male","Da Nang","Running Shoes","Fuelcell Rebel v4","Green","45",1,4050000,"Yes",3645000,"Debit Card","Lazada","Express","Summer","Annually","No","No",4.0,"Adult",365
121,33,"Female","Ho Chi Minh","Running Shoes","1080v13","Beige","44",1,3550000,"No",3550000,"MoMo","Shopee","Standard","Spring","Annually","No","No",5.0,"Adult",365
122,21,"Male","Ho Chi Minh","Running Shoes","Fuelcell Rebel v4","Blue","43",1,3050000,"No",3050000,"MoMo","Online - App","Express","Summer","Fortnightly","Yes","No",4.0,"Teen",14
123,37,"Female","Ha Noi","Apparel - Top","Essentials Hoodie","White","XS",1,1000000,"Yes",900000,"ZaloPay","In-Store","In-Store Pickup","Summer","Fortnightly","No","Yes",4.0,"Adult",14
124,18,"Male","Ho Chi Minh","Running Shoes","880v13","Pink","42",1,4800000,"Yes",4560000,"Credit Card","Online - App","Standard","Summer","Weekly","Yes","No",5.0,"Teen",7
125,32,"Female","Da Nang","Running Shoes","Fresh Foam X 1080","Pink","40",1,5150000,"No",5150000,"Credit Card","Lazada","Standard","Spring","Annually","No","No",5.0,"Adult",365
126,43,"Female","Ha Noi","Training Shoes","Freeze LX v3","Green","41",1,3800000,"Yes",3800000,"ZaloPay","Shopee","Express","Spring","Every 3 Months","Yes","Yes",2.0,"Adult",90
127,21,"Female","Da Nang","Running Shoes","Fresh Foam 860","Beige","43",1,3750000,"Yes",3000000,"Debit Card","Shopee","Standard","Autumn","Every 3 Months","No","Yes",5.0,"Teen",90
128,24,"Female","Ho Chi Minh","Lifestyle Sneakers","574","White",NULL,1,1800000,"Yes",1800000,"Debit Card","Shopee","Standard","Spring","Weekly","No","Yes",4.0,"Teen",7
129,28,"Female","Ha Noi","Apparel - Bottom","Accelerate Short","Green","M",2,800000,"No",1600000,"MoMo","TikTok Shop","Standard","Summer","Fortnightly","Yes","No",3.0,"Young Adult",14
130,24,"Female","Ho Chi Minh","Lifestyle Sneakers","574","Blue",NULL,1,2850000,"No",2850000,"ZaloPay","Online - App","Express","Autumn","Bi-Weekly","No","No",1.0,"Teen",14
131,17,"Female","Ha Noi","Apparel - Top","Essentials Hoodie","Blue","M",3,1100000,"Yes",2970000,"Bank Transfer","TikTok Shop","Standard","Summer","Fortnightly","Yes","No",4.0,"Teen",14
132,28,"Male","Da Nang","Training Shoes","Freeze LX v3","Beige","36",1,3700000,"Yes",3145000,"VNPay","In-Store","In-Store Pickup","Winter","Weekly","No","No",3.0,"Young Adult",7
133,20,"Female","Ho Chi Minh","Running Shoes","Fuelcell Rebel v4","Yellow","43",1,4500000,"No",4500000,"VNPay","Lazada","Standard","Summer","Weekly","No","No",5.0,"Teen",7
134,31,"Female","Ha Noi","Running Shoes","Fuelcell Rebel v4","Yellow","36",1,4500000,"No",4500000,"Debit Card","Shopee","Standard","Spring","Annually","No","No",5.0,"Young Adult",365
135,21,"Male","Ha Noi","Lifestyle Sneakers","574","Beige",NULL,1,2250000,"Yes",1800000,"Cash","Lazada","Standard","Autumn","Monthly","No","No",5.0,"Teen",30
136,38,"Male","Ho Chi Minh","Lifestyle Sneakers","1906R","White",NULL,1,1900000,"No",1900000,"MoMo","Shopee","Standard","Spring","Quarterly","Yes","No",3.0,"Adult",90
137,22,"Male","Ho Chi Minh","Training Shoes","FuelCell Training","Black","42",1,3750000,"Yes",3750000,"Credit Card","Online - App","Express","Summer","Quarterly","No","Yes",5.0,"Teen",90
138,25,"Female","Ho Chi Minh","Running Shoes","Fresh Foam X 1080","Beige","40",1,5000000,"No",5000000,"Debit Card","Online - Website","Same-day","Summer","Weekly","Yes","No",4.0,"Teen",7
139,33,"Male","Ho Chi Minh","Lifestyle Sneakers","530","Red",NULL,1,2300000,"Yes",1955000,"MoMo","Online - Website","Express","Spring","Weekly","No","No",4.0,"Adult",7
140,19,"Male","Ho Chi Minh","Lifestyle Sneakers","550","Yellow",NULL,1,2000000,"No",2000000,"Bank Transfer","Online - App","Express","Spring","Annually","No","No",4.0,"Teen",365
141,29,"Male","Ho Chi Minh","Apparel - Top","Essentials Hoodie","Black","M",1,750000,"Yes",638000,"MoMo","Shopee","Express","Summer","Weekly","No","No",4.0,"Young Adult",7
142,37,"Female","Ha Noi","Lifestyle Sneakers","550","White",NULL,1,2850000,"Yes",1995000,"Debit Card","Online - Website","Express","Winter","Weekly","Yes","No",5.0,"Adult",7
